,center_x,certer_y,class
8225,-15.03587690971169,16.99617801371393,11
10794,10.876482193730785,-13.001402896837025,13
9163,-7.882907142240197,1.198469734025374,12
26591,-18.636200624974133,-7.022307279654164,0
6631,4.670890490767286,7.698373424828073,17
14161,-17.477455710405085,-7.67923213682536,0
252,7.637216346713952,-11.233385628638887,3
2566,-19.01579637042217,-10.118749177162172,0
3478,0.5230749051550413,5.216600139539823,17
2917,11.557008032443964,2.44877473998922,15
12775,-1.4108812773963815,0.6921197696979172,12
29010,0.07344484142515127,-4.031092046171423,14
7983,7.820280616555064,-14.182121214768758,13
21976,-6.866483811666666,15.910894116631875,11
21139,-1.8819368360510689,19.02340448428193,10
12477,9.146755079006539,9.383958987721117,9
3199,-7.83323086156722,9.625906023197912,2
9708,-0.8778157208497228,2.0003183851883786,12
7631,0.4522015175765532,5.186282028812058,17
6937,-11.872452835620507,4.336093020608751,8
6175,0.3447397465035471,19.287465097464104,10
16560,-4.374476088692592,10.141069842437801,2
14733,21.294518383774435,8.417321467263235,4
19277,-13.282467364223592,13.216521792467557,11
16290,-18.238691569065782,-5.26055582681449,0
19552,-4.755981528878068,14.220512786412941,2
1482,8.75940567985093,-13.828891628331883,13
24743,-6.105090972265878,11.033057708141637,2
19704,-2.253819676689459,-17.206976661534732,6
4273,3.6762216943428725,6.213909318870821,17
12936,21.28610753766511,10.234563686929622,4
19825,11.17152902250905,-11.920436534425953,13
8156,-17.42125781092997,-9.274292763544471,0
28391,-0.8537953935122513,-9.513756478609997,7
11003,11.470260790950201,-11.728651246882528,13
20680,-8.634683660924482,15.583819015636204,11
22478,11.760650437638493,2.8702418456071346,15
24117,-11.674836626082293,3.0906882746897164,8
27782,10.814870798804058,-9.742600976671472,13
15412,0.677166024374921,6.060279451456707,17
14341,11.592373311867638,-22.8434971496788,5
18,11.412079287794416,-23.45136455698416,5
989,-2.0034786199415966,1.522474596118998,12
14765,-6.074122266925432,-16.154196081825205,6
1691,9.2040607566992,11.075764084320221,9
11397,-9.893733168111808,3.103333891056918,8
28366,-9.559950671380335,3.0968246564812745,8
23383,11.622753234284472,-13.600616909834326,13
19305,-7.215615679413347,16.688789299138914,11
27672,-12.634052150060233,15.840832659638643,11
6225,11.455098029251086,-13.683012394046129,13
26194,10.848823269496714,-12.864011522480851,13
4541,-4.5972991338245945,12.960483164047698,2
4806,2.234789847515905,-2.0876974290718637,14
1687,10.502478948243631,-0.6033803234595431,1
27465,-18.277688332229854,-4.503828137458084,0
25516,-12.056304657447093,1.501296076458861,8
9488,-4.884177137085142,-16.71569469290079,6
25037,-6.663727491459663,15.996780937038327,11
24222,-6.50530676667819,16.33552071220557,11
8261,-0.7813085275277475,-9.93986478899675,7
8953,-15.196718474789089,17.03373174931379,11
6271,2.6074088618775635,1.550014475909257,17
24162,20.76531182557168,10.256846137998044,4
3351,20.654255201243984,12.72249124343915,4
18078,8.86512858318723,12.534131867406447,9
12846,-7.60393899705291,14.322679627894791,11
2826,-2.751000111627876,-13.818029930938527,7
19940,-0.8046257277324033,-3.659542345619116,14
11144,-10.60960790142301,0.9973703327169596,8
10361,2.970937521560212,16.67855052758648,10
13871,-2.3791066096306728,11.613609666417247,2
19688,-1.8690456608929715,0.6591173877208366,12
21549,-14.533431499390105,5.659044349231922,8
15982,12.776026259713879,-10.555614885280244,13
4228,8.1808156609066,-0.42993438650055243,1
8789,3.4928701260594863,-5.623315088455561,14
6698,0.3341095931186539,0.737133286074448,12
8073,17.746118366310743,14.269253231065251,4
15557,-1.9117674142693966,-13.034040937173835,7
23544,-7.287439123138456,-6.469610036728829,16
9331,-14.303460702962992,17.535840650775004,11
27285,-4.427326898847831,13.413343284314173,2
26534,-6.62802025706256,16.024288319127535,11
6590,-7.453836163840204,16.30512872705581,11
24079,-4.304417174443428,-15.469780516596444,6
24982,1.2095649370414032,-3.654237293702526,14
21782,-19.847564832660108,-5.995199508241826,0
9382,-13.721614288050546,1.1766621991639317,8
29073,-6.709650611823684,16.6834980638208,11
5261,-6.973244232913337,-5.098400728961707,16
23329,13.2824816505502,-2.9030085250129827,1
1169,16.69313038669594,15.012027431984968,4
276,-19.4186413668696,-5.985931908620752,0
26198,6.791545074688433,-5.420461006893011,3
1797,-8.281334497843854,9.87551539791137,2
22181,12.329984072077785,4.152433651737574,15
5641,-4.451480466312283,10.976808531280248,2
14663,3.8826063898687813,16.407953599545102,10
6274,-2.6225433468907444,-13.10677063500232,7
1402,-5.604259546622496,9.156782580825752,2
5858,-5.388977468069688,-14.751967946709984,6
2639,-13.066404491346798,-3.511476498198629,0
20488,20.73906520985119,10.594226346532247,4
5427,-1.1304242685460468,2.299787299016807,12
2436,21.40075645393946,8.24700243934985,4
23436,12.577348483395316,-12.4571924808543,13
7604,-18.95356290603254,-6.7405553950110315,0
27048,20.734269524069546,10.355959682955232,4
23066,5.186532100472308,-11.095945536819448,3
2377,-16.54216009338036,-7.596515549583832,0
15109,-1.3782701760696026,-8.82936957917211,7
1728,-11.943507256683255,4.204106371668591,8
2508,-9.155631857791516,1.6288582474092088,8
13204,-9.588513113157676,13.554837735629924,11
27059,10.152877282003333,-0.8249015695489843,1
29979,-6.7396363172047415,-16.807090214058334,6
2080,12.477817466470682,5.235217008895492,15
4706,-12.27299883802892,4.172234656002172,8
16275,10.665868058264678,-6.362087029159667,3
27294,-1.6240893791146358,19.181104751561477,10
18414,2.935617951987947,0.8445685119287167,14
26201,13.686640197663108,-10.409889938558488,13
7476,-11.953771443256553,1.002593275585025,8
27347,2.7339848129718276,-4.099840518370919,14
19475,5.853129117854965,4.788269826957185,17
